,STKCODE,PER,PBR,PSR,PCR
1229,032750,6.911213212467404,0.6058521292345206,0.4022230091565429,4.5638376387506225
531,015860,6.946393094240025,0.3007745482172037,0.2119894589912014,4.660514704953039
721,069960,6.947638700304783,0.33274591330962205,0.4596521804093217,2.1653522597599726
736,057050,7.062540656072856,0.36047221860637435,0.30880402998288486,3.419692227699507
1591,123040,7.225148286824444,0.6017961548954471,0.14054956082623762,3.1394095466659224
371,136490,7.286708127883674,0.7044467356165958,0.16998625907888307,3.380011810013295
79,034310,7.328877963315946,0.5005011871318956,0.2520462594128989,1.8266787619356974
548,000480,7.392178569007975,0.4068816722936213,0.4278472041518962,4.618794201163434
590,120110,7.486706144359962,0.6804462563079606,0.3692049694013362,3.532395374073963
1735,039020,7.930001474427947,0.3661297659034006,0.2209659764087681,4.268422801516155
1402,054800,8.18099134634469,0.17900696480970255,0.1974034367212581,3.196558892648034
338,145990,8.415948132606609,0.3672550623703925,0.21885245637799003,3.748663785804184
1010,079960,8.468618160576362,0.489613040737294,0.23855851243749257,4.487412298803137
